Date,Close,High,Low,Open,Volume
8/12/2002,25.4828701,25.67543538,24.8570299,24.8570299,212976
8/13/2002,25.13785362,25.92416526,24.95331242,25.51496254,153576
8/14/2002,23.4047699,25.19402619,22.931377,25.19402619,822776
8/15/2002,23.4047699,23.4047699,23.4047699,23.4047699,0
8/16/2002,23.34860802,24.39167298,22.94742919,23.28442038,811856
8/19/2002,22.77089882,23.5411623,22.55426382,23.5411623,205880
8/20/2002,23.4047699,24.85703505,22.77892956,22.931377,3773624
8/21/2002,24.5521431,25.16193538,23.44489056,24.69656649,3011064
8/22/2002,25.61126518,26.68642428,25.23415599,25.36253374,6732480
8/23/2002,27.15178299,28.00228261,25.5229979,25.8359169,4841672
8/26/2002,27.05550766,27.76158159,26.83887006,27.58506188,2576912
8/27/2002,26.3815155,28.40345753,26.15685637,27.28015695,3694224
8/28/2002,26.40558815,26.70245898,25.85998353,26.3012802,1674960
8/29/2002,26.40558815,26.87897863,26.15685681,26.24511664,1236544
8/30/2002,28.27509117,28.96511944,26.47781001,26.48583408,3762384
9/2/2002,28.56393242,29.51071347,28.27508317,28.72440395,2389568
9/3/2002,27.22400475,28.84476881,26.9592276,28.72441512,986784
9/4/2002,27.81773567,28.08251267,26.56605747,26.87897641,1449856
9/5/2002,27.64925003,28.79662069,27.28016496,28.66824296,1061360
9/6/2002,26.62222099,27.76156963,26.32535019,27.76156963,907472
9/9/2002,26.2772007,27.40050088,25.35448983,25.35448983,880848
9/10/2002,26.2772007,26.2772007,26.2772007,26.2772007,0
9/11/2002,26.94317818,27.40854724,26.42164552,26.42164552,635936
9/12/2002,27.07957649,27.74553251,26.89503517,27.27214188,781968
9/13/2002,26.3093071,27.10364069,26.08464793,26.13278988,338264
9/16/2002,25.79580307,26.7024664,25.59521362,26.55804297,288592
9/17/2002,26.55001831,26.71851393,26.17291163,26.26116902,462952
9/18/2002,25.73161888,26.47781075,25.51498127,26.39757496,315432
9/19/2002,25.51497078,26.3654703,25.19402775,25.51497078,490848
9/20/2002,25.09774399,25.46682896,24.49597581,24.60028376,501072
9/23/2002,24.67250633,25.33846243,24.56820078,25.27427478,248504
9/24/2002,23.8380394,24.58423082,23.57325998,24.58423082,267912
9/25/2002,24.02259064,24.23120414,23.10790329,23.28442297,379544
9/26/2002,24.39969063,24.78482123,24.23119507,24.52004425,178136
9/27/2002,24.69656944,25.03356066,24.31946279,24.31946279,206288
9/30/2002,23.79793358,24.69657287,23.28442506,24.31946616,202232
10/1/2002,23.59734535,24.23120758,23.18814235,23.91026443,240192
10/2/2002,23.59734535,23.59734535,23.59734535,23.59734535,0
10/3/2002,24.23119926,25.51497141,23.91025623,23.91025623,673264
10/4/2002,24.07875443,24.62435667,23.83002305,24.55214497,258296
10/7/2002,23.97444534,24.3916723,23.76583432,24.23922483,110976
10/8/2002,24.62436104,24.85704432,23.91026307,24.04666488,227352
10/9/2002,23.99851799,25.10577058,23.78990451,24.71261581,277040
10/10/2002,24.02259064,24.71261879,23.51710623,24.71261879,173224
10/11/2002,24.52807045,24.99343683,24.46388038,24.69656357,192536
10/14/2002,24.35155487,25.03355888,24.11887164,24.98541693,152744
10/15/2002,24.35155487,24.35155487,24.35155487,24.35155487,0
10/16/2002,24.39969063,27.45667301,24.2472432,27.45667301,247760
10/17/2002,24.39969063,24.55213805,24.08677171,24.55213805,144512
10/18/2002,24.91320038,25.62729806,24.57620925,24.8730825,512312
10/21/2002,25.29833412,26.14883367,25.19402861,25.49892352,646296
10/22/2002,24.38364601,25.51497067,24.23119856,25.51497067,229384
10/23/2002,24.27131462,24.84098894,24.08677337,24.55213975,153320
10/24/2002,23.84606743,24.61632872,23.68559592,24.53609296,168744
10/25/2002,23.35663605,23.80595691,23.28442434,23.42884776,172296
10/28/2002,23.01162338,23.42885047,22.81905798,23.1881431,134504
10/29/2002,23.2122097,23.39675346,22.81905488,22.94743261,143024
10/30/2002,23.60537338,24.03062214,23.26838204,23.42885364,164320
10/31/2002,23.97444534,24.07072924,23.62140847,23.74978618,118928
11/1/2002,23.72572136,24.48796128,23.59734362,24.08678237,108792
11/4/2002,23.90223503,24.07073064,23.71769374,24.07073064,56560
11/5/2002,23.64547729,23.95839624,23.49302741,23.67757111,70288
11/6/2002,23.64547729,23.64547729,23.64547729,23.64547729,0
11/7/2002,24.3756218,25.354499,24.0707269,24.0707269,204880
11/8/2002,23.95036507,24.22316605,23.76582387,23.9102472,77664
11/11/2002,23.58932495,24.07073975,23.54118298,24.07073975,66568
11/12/2002,23.70966721,24.07072813,23.42884204,23.42884204,106864
11/13/2002,23.50907516,23.89420579,23.38069747,23.83001817,106264
11/14/2002,23.83002853,24.32749139,23.51710946,23.8781705,211856
11/15/2002,24.34352684,24.49597428,24.07072577,24.35957497,154144
11/18/2002,24.59225655,24.8650576,24.28736169,24.55213867,217672
11/19/2002,24.59225655,24.59225655,24.59225655,24.59225655,0
11/20/2002,25.40264893,25.59521431,24.55214915,24.55214915,406128
11/21/2002,27.60110664,28.70835936,25.87603748,25.87603748,2664024
11/22/2002,27.17586136,28.99721221,26.5660689,26.5660689,1184016
11/25/2002,27.12770844,27.72947658,26.79874136,27.44062738,428920
11/26/2002,26.9672451,27.88995654,26.81479762,27.36039992,367496
11/27/2002,26.39756012,27.44062481,26.24511269,27.44062481,301128
11/28/2002,27.4727211,28.06646518,26.64629383,26.6543179,447680
11/29/2002,27.4727211,27.4727211,27.4727211,27.4727211,0
12/2/2002,30.41737747,31.4524183,28.54788277,28.80463819,1388680
12/3/2002,32.15849686,33.65088273,30.02422725,31.13147994,4082608
